TIME,DBTM,DMEA,BPOS,HKLA,HKLX,WOBA,WOBX,TQA,TQX,RPMA,SPPA,CHKP,SPM1,SPM2,TVCA,MFOP,MDOA,MDIA,MTOA,MTIA,MCOA,MCIA,STKC,DRTM,SPR2,SPR3,SPR4,SPR5,SPR6,SPR7,SPR13,SPR14,SPR15,SPR20,SPR21,SPR22,SPR23
2016-11-08T192616.000Z,419.3592,419.3592,-3.512202,40.51819,40.51819,9.889371,9.889371,0.0,0.0,0,88.25577,0.0,63,77,-1.622082,0,1.158896,1.042003,0.0,42.46296,0.0,15.69088,4126002,427.0,90.15215,211.353,0.0,0.0,86,446.9987,179.6569,0.0,0.0,2.248728,26.08546,141,6585
2016-11-08T192618.000Z,419.384,419.384,-3.537027,41.12555,41.12555,9.282168,9.282168,0.0,0.0,0,88.36385,0.0,63,77,-1.604942,0,1.158896,1.042003,0.0,42.46296,0.0,15.69088,4126005,427.0,90.15215,211.1503,0.0,0.0,85,473.0088,179.6569,0.0,0.0,2.248728,26.08546,141,6590
2016-11-08T192620.000Z,419.384,419.384,-3.537027,40.16078,40.16078,10.24134,10.24134,0.0,0.0,0,88.36385,0.0,63,77,-1.626373,0,1.158896,1.042003,0.0,42.46296,0.0,15.69088,4126007,427.0,90.15215,211.1503,0.0,0.0,84,464.9645,179.6569,0.0,0.0,2.248728,26.08546,141,6590
2016-11-08T192622.000Z,419.4022,419.4022,-3.55516,39.7604,39.7604,10.64363,10.64363,0.0,0.0,0,88.36385,0.0,63,77,-1.647091,0,1.158896,1.042003,0.0,42.46296,0.0,15.69088,4126009,427.0,90.15215,211.3453,0.0,0.0,86,445.4142,179.6569,0.0,0.0,2.248728,26.20807,141,6594
2016-11-08T192624.000Z,419.4022,419.4022,-3.55516,39.0682,39.0682,11.33712,11.33712,0.0,0.0,0,88.36385,0.0,63,77,-1.687447,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126011,427.0,90.15215,211.3453,0.0,0.0,84,457.3151,179.6569,0.0,0.0,2.248728,26.20807,141,6594
2016-11-08T192626.000Z,419.4123,419.4123,-3.565306,38.2301,38.2301,12.17245,12.17245,0.0,0.0,0,88.52402,0.0,63,77,-1.687447,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126014,427.0,90.15215,211.0354,0.0,0.0,83,451.0979,179.6569,0.0,0.0,2.367934,25.33854,141,6599
2016-11-08T192629.000Z,419.4123,419.4123,-3.565306,39.04105,39.04105,11.36706,11.36706,0.0,0.0,0,88.79211,0.0,63,77,-1.687447,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126016,427.0,90.15215,210.7366,0.0,0.0,85,461.862,179.6569,0.0,0.0,2.367934,25.33854,141,6599
2016-11-08T192631.000Z,419.427,419.427,-3.579985,39.77453,39.77453,10.63332,10.63332,0.0,0.0,0,88.63202,0.0,63,77,-1.687447,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126018,427.0,90.15215,211.0501,0.0,0.0,84,428.506,179.6569,0.0,0.0,2.367934,25.33854,141,6604
2016-11-08T192633.000Z,419.427,419.427,-3.579985,40.96127,40.96127,9.448114,9.448114,0.0,0.0,0,88.63202,0.0,63,77,-1.796532,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126021,427.0,90.29449,211.1969,0.0,0.0,83,446.4114,179.6569,0.0,0.0,2.367934,25.33854,141,6604
2016-11-08T192635.000Z,419.4395,419.4395,-3.592506,39.75064,39.75064,10.65066,10.65066,0.0,0.0,0,88.63202,0.0,63,77,-1.82217,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126023,427.0,90.29449,211.1969,0.0,0.0,84,426.6374,179.6569,0.0,0.0,2.367934,25.33854,141,6609
2016-11-08T192637.000Z,419.4395,419.4395,-3.592506,39.63733,39.63733,10.75104,10.75104,0.0,0.0,0,88.63202,0.0,63,77,-1.82217,0,1.158896,1.042003,0.0,42.88407,0.0,15.69088,4126023,427.0,90.29449,211.1969,0.0,0.0,83,455.4083,179.6569,0.0,0.0,2.367934,25.33854,141,6609
